 PM2.5(mg/m3), PM10(mg/m3), Temperature(C), Relative Humidity(%), Longitude, Latitude, Altitude(m), Time ,,,,
21.4,24.6,30.04,62.99,NA,NA,NA,23:59:42,,,,
26.1,35.2,30.11,63.18,7.57353,51.94467,51,8:31:16,,,,
26.2,35.8,30.11,63.38,7.57353,51.94467,50.6,8:31:26,,,,
25.8,30.2,30.19,64.06,7.57353,51.94467,50.6,8:31:36,,,,
25.6,29,30.26,64.39,7.57353,51.94467,50.6,8:31:46,,,,
25.2,28,30.39,64.19,7.57353,51.94467,50.6,8:31:56,,,,
25.5,28.3,30.45,64.48,7.57353,51.94467,50.6,8:32:06,,,,
24.8,27.5,30.62,64.51,7.57353,51.94467,50.6,8:32:16,,,,
24.4,27.4,30.75,65.78,,,,,,,,
24.6,30.2,30.67,64.12,,,,,,,,
25.1,30.6,30.61,63.24,,,,,,,,
24.8,28.3,30.73,63.15,,,,,,,,
24.4,27.2,30.58,63.73,7.57353,51.94467,50.6,8:32:16,,,,
24.6,27.6,30.75,63.73,,,,,,,,
25.6,28.8,30.51,63.51,,,,,,,,
26,29.2,30.58,63.44,7.57353,51.94467,50.6,8:33:37,,,,
26.3,29.3,30.58,63.15,7.57353,51.94467,50.6,8:33:47,,,,
25.6,28.5,30.72,63.05,7.57353,51.94467,50.6,8:33:57,,,,
25.8,28.7,30.75,62.76,7.57353,51.94467,50.6,8:34:07,,,,
24.7,27.5,30.83,62.95,7.57353,51.94467,50.6,8:34:17,,,,
24.1,26.9,30.94,63.96,7.57353,51.94467,50.6,8:34:27,,,,
23,25.7,30.8,63.64,7.57353,51.94467,50.6,8:34:37,,,,
22.9,25.8,30.99,62.79,7.57353,51.94467,50.6,8:34:47,,,,
23.1,25.9,31.72,62.36,7.57353,51.94467,50.6,8:34:57,,,,
23.3,26,32.43,60.96,7.57353,51.94467,50.6,8:35:07,,,,
24.1,26.8,33.06,59.28,,,,,,,,
25,27.8,33.66,58.16,7.57353,51.94467,50.6,8:35:07,,,,
42.2,46.1,34.13,56.82,7.57353,51.94467,50.6,8:35:07,,,,
84,129.6,32.75,55.24,,,,,,,,
110.1,162.5,30.65,54.85,,,,,,,,
106.4,159.2,29.64,55.16,7.57353,51.94467,50.6,8:35:07,,,,
82.1,90.7,28.62,56.74,7.57353,51.94467,50.6,8:35:07,7.57353,51.94467,50.6,8:36:17
74.8,81.3,28.15,58.53,,,,,,,,
80.1,87.3,26.99,60.28,7.57353,51.94467,50.6,8:36:38,,,,
64.8,70.8,25.99,62.33,7.57353,51.94467,50.6,8:36:48,,,,
53.2,58,25.46,63.72,7.57353,51.94467,50.6,8:36:58,,,,
45.2,49.4,24.64,66.75,7.57353,51.94467,50.6,8:37:08,,,,
54.1,59.1,24.31,68.56,7.57353,51.94467,50.6,8:37:18,,,,
60.7,66.6,24.25,70.59,7.57353,51.94467,50.6,8:37:28,,,,
70.2,77.2,24.4,72.08,7.57353,51.94467,50.6,8:37:38,,,,
74.9,82.4,24.02,72.33,7.57344,51.94467,72.8,8:37:48,,,,
64.6,71.2,23.57,73.71,7.57344,51.94467,72.8,8:37:58,,,,
48.6,53.8,23.23,74.73,7.57344,51.94467,72.8,8:38:08,,,,
34.8,38.9,23.33,76.03,7.57344,51.94467,72.8,8:38:08,,,,
31.5,35.2,23,76.37,,,,,,,,
27.6,31.2,22.82,77.01,,,,,,,,
29.4,33,22.4,77.65,,,,,,,,
31.9,35.7,22.57,78.36,7.57344,51.94467,72.8,8:38:08,,,,
33.8,37.6,22.83,79.33,7.57344,51.94467,72.8,8:39:08,,,,
30.4,33.7,22.8,80,,,,,,,,
29.5,33,22.6,79.72,7.57344,51.94467,72.8,8:39:29,,,,
41.2,45.5,22.85,79.91,7.57344,51.94467,72.8,8:39:39,,,,
53.4,58.7,22.97,80.05,7.57344,51.94467,72.8,8:39:49,,,,
53.5,58.6,23,80.24,7.57344,51.94467,72.8,8:39:59,,,,
59.7,65.6,23.09,80.33,,,,,,,,
68.8,75.8,23.15,79.95,,,,,,,,
85.2,93.8,23.13,80.14,7.57344,51.94467,72.8,8:40:29,,,,
82.7,91.1,22.92,80.05,7.57344,51.94467,72.8,8:40:39,,,,
66.7,73.4,23.1,79.85,7.57344,51.94467,72.8,8:40:49,,,,
53.7,59.2,23.15,78.69,7.57344,51.94467,72.8,8:40:59,,,,
46.7,51.2,23.16,77.83,7.57344,51.94467,72.8,8:41:09,,,,
46.6,51.1,22.82,77.69,7.57344,51.94467,72.8,8:41:19,,,,
41.9,46,22.8,77.01,7.57344,51.94467,72.8,8:41:29,,,,
35.2,39,22.72,77.69,7.57344,51.94467,72.8,8:41:39,,,,
30.9,34.3,22.64,78.56,7.57344,51.94467,72.8,8:41:49,,,,
30.4,33.7,22.77,78.56,7.57344,51.94467,72.8,8:41:59,,,,
29.3,32.5,22.83,78.85,,,,,,,,
27.1,30.3,22.57,79.33,,,,,,,,
27.5,30.8,22.64,79.72,,,,,,,,
27,30.3,22.72,79.72,,,,,,,,
27,30.2,22.77,79.72,,,,,,,,
28.5,31.8,22.47,80.06,7.57344,51.94467,72.8,8:41:59,,,,
31.5,35,22.65,80.68,,,,,,,,
30.9,34.4,22.49,80.2,,,,,,,,
27.6,30.9,22.4,79,7.57344,51.94467,72.8,8:43:30,,,,
23.8,27.7,22.46,79.87,7.57344,51.94467,72.8,8:43:40,,,,
24.5,28,22.27,79.39,7.57344,51.94467,72.8,8:43:50,,,,
25.2,28.4,22.3,79.97,7.57344,51.94467,72.8,8:44:00,,,,
24.7,27.8,22.18,79.97,7.57344,51.94467,72.8,8:44:10,,,,
21.4,24.8,22.39,78.91,7.57344,51.94467,72.8,8:44:20,,,,
18.7,23.5,22.35,79.39,7.57344,51.94467,72.8,8:44:30,,,,
18.8,23.1,22.27,79.39,7.57344,51.94467,72.8,8:44:40,,,,
20.4,23.6,22.4,79.77,7.57344,51.94467,72.8,8:44:50,,,,
24.4,27.2,22.58,80.1,7.57344,51.94467,72.8,8:45:00,,,,
23.8,26.7,22.51,80.78,,,,,,,,
26.3,29.5,22.73,80.78,,,,,,,,
24.6,27.9,22.88,80.68,7.57344,51.94467,72.8,8:45:00,,,,
24.7,28.9,22.85,80.97,,,,,,,,
32.3,36,23.1,80.33,,,,,,,,
32.5,36.3,23.12,79.95,,,,,,,,
32.8,36.5,23.13,80.33,7.57341,51.94464,73.7,8:46:11,,,,
24.2,30.2,23.07,79.85,7.57341,51.94464,73.7,8:46:21,,,,
42,48.8,23.2,80.24,7.57341,51.94464,73.7,8:46:31,,,,
72.8,81.8,23.2,80.14,7.57341,51.94464,73.7,8:46:41,,,,
110.3,141.7,23.28,80.28,7.57341,51.94464,73.7,8:46:51,,,,
146.3,257.6,23.78,81.57,7.57341,51.94464,73.7,8:47:01,,,,
170.4,342.5,24.22,82.2,7.57341,51.94464,73.7,8:47:11,,,,
137.1,448.6,24.5,83.2,7.57341,51.94464,73.7,8:47:21,,,,
82.8,355.7,24.76,83.49,7.57341,51.94464,73.7,8:47:31,,,,
31.4,242.8,24.93,84.41,7.57341,51.94464,73.7,8:47:41,,,,
27,75.1,25.06,84.5,7.57341,51.94464,73.7,8:47:51,,,,
26.2,31.6,25.08,83.05,7.57341,51.94464,73.7,8:48:01,,,,
26.7,31.3,25.05,83.25,7.57341,51.94464,73.7,8:48:01,,,,
27.1,30.9,25.18,82.41,,,,,,,,
26.6,29.8,25.32,80.87,,,,,,,,
26.8,30.5,25.42,80.96,,,,,,,,
27.4,31,25.5,81.2,,,,,,,,
27.2,30.5,25.51,81.39,,,,,,,,
26.3,29.3,25.61,81.87,7.57341,51.94464,73.7,8:49:12,,,,
26.4,29.4,25.64,81,7.57341,51.94464,73.7,8:49:22,,,,
26.4,29.5,25.73,80.42,7.57341,51.94464,73.7,8:49:32,,,,
28.1,44.5,25.73,80.03,7.57341,51.94464,73.7,8:49:42,,,,
27.6,49.5,25.82,80.42,7.57341,51.94464,73.7,8:49:52,,,,
27.4,52.1,25.91,81.33,7.57341,51.94464,73.7,8:50:02,,,,
26.4,36.6,25.82,81.29,7.57341,51.94464,73.7,8:50:12,,,,
27.7,32.7,25.98,82.01,7.57341,51.94464,73.7,8:50:22,,,,
28.8,32.2,25.97,81.52,7.57341,51.94464,73.7,8:50:32,,,,
29.6,33.1,25.98,81.04,7.57341,51.94464,73.7,8:50:42,,,,
29.1,32.6,26.06,80.55,7.57341,51.94464,73.7,8:50:52,,,,
29.9,38.2,26.15,81.23,,,,,,,,
30,41.9,26.2,81.72,,,,,,,,
30,41.4,26.3,80.98,,,,,,,,
29.6,34.6,26.37,80.01,,,,,,,,
