Timestamp, LeftSensor (cm), RightSensor (cm)
6/9/2018 16:06:16,82,0
6/9/2018 16:06:27,73,81
6/9/2018 16:06:37,69,82
6/9/2018 16:06:47,160,160
6/9/2018 16:06:57,75,80
6/9/2018 16:07:07,79,80
6/9/2018 16:07:17,73,80
6/9/2018 16:07:27,43,41
6/9/2018 16:07:37,5,3
6/9/2018 16:07:47,19,17
6/9/2018 16:07:57,9,20
6/9/2018 16:08:07,8,17
6/9/2018 16:08:17,7,26
6/9/2018 16:08:27,12,23
6/9/2018 16:08:37,0,85
6/9/2018 16:08:48,15,19
6/9/2018 16:08:58,10,19
6/9/2018 16:09:08,0,0
6/9/2018 16:09:20,30,26
6/9/2018 16:09:30,142,172
6/9/2018 16:09:40,5,4
6/9/2018 16:09:50,42,30
6/9/2018 16:10:00,11,6
6/9/2018 16:10:10,158,158
6/9/2018 16:10:20,8,13
6/9/2018 16:10:30,3,3
6/9/2018 16:10:40,186,14
6/9/2018 16:10:50,26,25
6/9/2018 16:11:01,49,9
6/9/2018 16:11:11,47,44
6/9/2018 16:11:21,133,20
6/9/2018 16:11:31,16,159
6/9/2018 16:11:41,13,10
6/9/2018 16:11:51,34,8
6/9/2018 16:12:01,35,19
6/9/2018 16:12:11,47,33
6/9/2018 16:12:21,32,5872
6/9/2018 16:12:31,5,29
6/9/2018 16:12:41,0,7
6/9/2018 16:12:52,276,4297
6/9/2018 16:13:03,17,20
6/9/2018 16:13:13,85,20
6/9/2018 16:13:23,129,130
6/9/2018 16:13:33,44,44
6/9/2018 16:13:43,45,44
6/9/2018 16:13:53,44,44
6/9/2018 16:14:03,44,43
6/9/2018 16:14:13,44,44
6/9/2018 16:14:23,44,44
6/9/2018 16:14:33,44,44
6/9/2018 16:14:43,44,44
6/9/2018 16:14:53,44,43
6/9/2018 16:15:03,99,98
6/9/2018 16:15:13,100,98
6/9/2018 16:15:23,100,98
6/9/2018 16:15:33,99,97
6/9/2018 16:15:43,99,98
6/9/2018 16:15:53,99,98
6/9/2018 16:16:03,99,97
6/9/2018 16:16:13,99,98
6/9/2018 16:16:23,99,98
6/9/2018 16:16:33,100,98
6/9/2018 16:16:43,100,97
6/9/2018 16:16:53,99,97
6/9/2018 16:17:03,99,97
6/9/2018 16:17:14,99,97
6/9/2018 16:17:24,100,97
6/9/2018 16:17:34,99,97
6/9/2018 16:17:44,100,98
6/9/2018 16:17:54,99,98
6/9/2018 16:18:04,99,98
6/9/2018 16:18:14,99,98
6/9/2018 16:18:24,99,98
6/9/2018 16:18:34,100,98
6/9/2018 16:18:44,99,98
6/9/2018 16:18:54,99,98
6/9/2018 16:19:04,99,98
6/9/2018 16:19:14,100,98
6/9/2018 16:19:24,100,97
6/9/2018 16:19:34,100,97
6/9/2018 16:19:44,99,98
6/9/2018 16:19:54,100,98
6/9/2018 16:20:04,100,98
6/9/2018 16:20:14,99,98
6/9/2018 16:20:24,99,97
6/9/2018 16:20:34,99,98
6/9/2018 16:20:44,100,97
6/9/2018 16:20:54,100,97
6/9/2018 16:21:04,100,97
6/9/2018 16:21:14,100,98
6/9/2018 16:21:25,99,98
6/9/2018 16:21:35,100,98
6/9/2018 16:21:45,99,98
6/9/2018 16:21:55,99,98
6/9/2018 16:22:05,99,98
6/9/2018 16:22:15,99,98
6/9/2018 16:22:25,99,98
6/9/2018 16:22:35,99,98
6/9/2018 16:22:45,99,98
6/9/2018 16:22:55,99,98
6/9/2018 16:23:05,99,98
6/9/2018 16:23:15,99,98
6/9/2018 16:23:25,99,98
6/9/2018 16:23:35,99,98
6/9/2018 16:23:45,99,98
6/9/2018 16:23:55,99,98
6/9/2018 16:24:05,99,98
6/9/2018 16:24:15,99,98
6/9/2018 16:24:25,99,98
6/9/2018 16:24:35,99,98
6/9/2018 16:24:45,99,98
6/9/2018 16:24:55,99,98
6/9/2018 16:25:05,99,98
6/9/2018 16:25:15,99,98
6/9/2018 16:25:26,99,98
6/9/2018 16:25:36,100,97
6/9/2018 16:25:46,99,98
6/9/2018 16:25:56,99,98
6/9/2018 16:26:06,99,98
6/9/2018 16:26:16,99,98
6/9/2018 16:26:26,99,97
6/9/2018 16:26:36,99,98
6/9/2018 16:26:46,99,98
6/9/2018 16:26:56,99,98
6/9/2018 16:27:06,99,98
6/9/2018 16:27:16,99,98
6/9/2018 16:27:26,100,98
6/9/2018 16:27:36,99,97
6/9/2018 16:27:46,99,98
6/9/2018 16:27:56,100,98
6/9/2018 16:28:06,99,98
6/9/2018 16:28:16,99,97
6/9/2018 16:28:26,99,98
6/9/2018 16:28:36,99,97
6/9/2018 16:28:46,99,98
6/9/2018 16:28:56,99,97
6/9/2018 16:29:06,99,97
6/9/2018 16:29:16,99,97
6/9/2018 16:29:26,99,97
6/9/2018 16:29:37,99,98
6/9/2018 16:29:47,99,98
6/9/2018 16:29:57,99,98
6/9/2018 16:30:07,99,98
6/9/2018 16:30:17,99,97
6/9/2018 16:30:27,99,98
6/9/2018 16:30:37,100,98
6/9/2018 16:30:47,100,98
6/9/2018 16:30:57,100,98
6/9/2018 16:31:07,100,98
6/9/2018 16:31:17,99,98
6/9/2018 16:31:27,99,98
6/9/2018 16:31:37,99,98
6/9/2018 16:31:47,99,98
6/9/2018 16:31:57,100,98
6/9/2018 16:32:07,99,97
6/9/2018 16:32:17,99,97
6/9/2018 16:32:27,100,98
6/9/2018 16:32:37,99,98
6/9/2018 16:32:47,99,98
6/9/2018 16:32:57,99,98
6/9/2018 16:33:07,99,98
6/9/2018 16:33:17,100,98
6/9/2018 16:33:27,99,98
6/9/2018 16:33:37,99,98
6/9/2018 16:33:48,100,97
6/9/2018 16:33:58,99,98
6/9/2018 16:34:08,100,98
6/9/2018 16:34:18,100,98
6/9/2018 16:34:28,99,98
6/9/2018 16:34:38,99,97
6/9/2018 16:34:48,99,98
6/9/2018 16:34:58,99,98
6/9/2018 16:35:08,99,98
6/9/2018 16:35:18,99,98
6/9/2018 16:35:28,100,98
6/9/2018 16:35:38,99,97
6/9/2018 16:35:48,99,97
6/9/2018 16:35:58,99,97
6/9/2018 16:36:08,99,97
6/9/2018 16:36:18,99,97
