Timestamp, Temperature(C), Relative Humidity(%), Iluminance (lux), UV-radiation (uW/cm2), Air Pressure (mBar), Height (m) 
6/4/2018 9:34:28,35.75,34.33,103008,5686.87,1010.21,25.38
6/4/2018 9:34:38,35.87,33.86,99744,5720.62,1010.2,25.43
6/4/2018 9:34:48,35.84,34.63,100928,5664.37,1010.31,24.47
6/4/2018 9:34:58,36.13,34.54,100736,5619.37,1010.41,23.65
6/4/2018 9:35:09,36.17,34.27,100000,5613.75,1010.28,24.75
6/4/2018 9:35:19,36.45,33.67,99776,5591.25,1010.14,25.93
6/4/2018 9:35:29,36,33.56,99648,5596.87,1010.11,26.2
6/4/2018 9:35:39,35.75,34.53,23040,2311.87,1010.28,24.74
6/4/2018 9:35:49,34.81,34.08,6108,455.63,1010.98,18.94
6/4/2018 9:36:00,33.97,34.92,8440,624.38,1009.62,30.28
6/4/2018 9:36:10,33.22,37.52,6616,748.13,1009.66,29.93
6/4/2018 9:36:20,32.49,39.14,0,118.12,1009.67,29.83
6/4/2018 9:36:30,31.45,40.74,45792,1518.75,1009.61,30.38
6/4/2018 9:36:40,31.11,42.68,32128,2531.25,1009.66,29.97
6/4/2018 9:36:50,30.44,44.58,38080,2548.12,1009.68,29.77
6/4/2018 9:37:01,29.96,47.07,42656,3566.25,1009.65,30.02
6/4/2018 9:37:11,29.76,48.71,42752,3588.75,1009.68,29.8
6/4/2018 9:37:21,29.27,49.07,43104,3600,1009.7,29.58
6/4/2018 9:37:31,28.93,50.6,42912,3532.5,1009.71,29.55
6/4/2018 9:37:41,28.64,50.78,42944,3600,1009.75,29.21
6/4/2018 9:37:52,28.53,51.75,43328,3577.5,1009.7,29.59
6/4/2018 9:38:02,28.5,53.79,42208,3476.25,1009.69,29.72
6/4/2018 9:38:12,28.52,55.64,40608,3301.87,1009.76,29.14
6/4/2018 9:38:22,28.53,56.51,41472,3358.12,1009.74,29.25
6/4/2018 9:38:32,28.46,55.74,14888,1366.88,1009.72,29.44
6/4/2018 9:38:42,28.25,53.86,40608,3183.75,1009.71,29.5
6/4/2018 9:38:53,28.12,52.59,0,421.88,1009.74,29.29
6/4/2018 9:39:03,28.09,54.05,6884,388.13,1009.58,30.6
6/4/2018 9:39:13,27.83,55.78,11868,11.25,1009.61,30.39
6/4/2018 9:39:23,27.71,56.95,4628,270,1009.54,30.95
6/4/2018 9:39:33,27.53,57.11,10336,545.63,1009.55,30.84
6/4/2018 9:39:44,27.34,56.4,16352,1451.25,1009.61,30.38
6/4/2018 9:39:54,27.33,57.47,53728,3515.62,1009.6,30.43
6/4/2018 9:40:04,27.01,56.28,14680,2863.12,1009.64,30.09
6/4/2018 9:40:14,26.86,56.28,52448,3487.5,1009.62,30.25
6/4/2018 9:40:24,26.91,56.28,52608,3476.25,1009.65,30.04
6/4/2018 9:40:34,26.76,56.57,52160,3487.5,1009.68,29.73
